participant_id,knowledge_search_interface,search_efficiency,decision_confidence,perceived_effort
NON_1_038,Standard_Search,4.23,4.84,4.46
NON_1_039,Standard_Search,3.46,4.17,4.23
NON_1_040,Standard_Search,5.0,3.89,3.46
NON_1_041,Standard_Search,3.43,2.88,3.48
NON_1_042,Standard_Search,5.2,3.81,4.63
NON_1_043,Standard_Search,3.8,4.16,4.46
NON_1_044,Standard_Search,3.85,4.69,5.72
NON_1_045,Standard_Search,4.19,2.99,3.74
NON_1_046,Standard_Search,4.05,5.36,4.88
NON_1_047,Standard_Search,4.52,4.24,4.9
NON_1_048,Standard_Search,4.37,3.57,4.21
NON_1_049,Standard_Search,3.97,4.28,3.68
NON_1_050,Standard_Search,3.49,4.12,5.51
NON_2_001,Tagged_Knowledge_Base,3.47,4.79,5.9
NON_2_002,Tagged_Knowledge_Base,5.16,3.44,4.7
NON_2_003,Tagged_Knowledge_Base,4.33,4.68,4.92
NON_2_004,Tagged_Knowledge_Base,3.96,4.11,5.21
NON_2_005,Tagged_Knowledge_Base,4.99,4.52,5.57
NON_2_006,Tagged_Knowledge_Base,3.29,5.18,4.51
NON_2_007,Tagged_Knowledge_Base,4.36,3.77,5.11
NON_2_008,Tagged_Knowledge_Base,4.02,6.05,4.02
NON_2_009,Tagged_Knowledge_Base,5.0,4.43,4.71
NON_2_010,Tagged_Knowledge_Base,4.25,3.5,4.36
NON_2_011,Tagged_Knowledge_Base,5.05,4.24,4.99
NON_2_012,Tagged_Knowledge_Base,3.85,4.52,4.72
NON_2_013,Tagged_Knowledge_Base,3.88,4.16,4.03
NON_2_014,Tagged_Knowledge_Base,5.51,5.31,5.09
NON_2_015,Tagged_Knowledge_Base,5.92,2.65,4.38
NON_2_016,Tagged_Knowledge_Base,3.96,4.2,4.92
NON_2_017,Tagged_Knowledge_Base,3.85,4.31,4.33
NON_2_018,Tagged_Knowledge_Base,3.89,3.77,5.36
NON_2_019,Tagged_Knowledge_Base,4.22,4.25,5.01
NON_2_020,Tagged_Knowledge_Base,2.99,3.11,3.96
NON_2_021,Tagged_Knowledge_Base,4.12,4.01,3.8
NON_2_022,Tagged_Knowledge_Base,3.05,3.26,4.33
NON_2_023,Tagged_Knowledge_Base,5.25,3.76,5.5
NON_2_024,Tagged_Knowledge_Base,3.29,3.66,4.55
NON_2_025,Tagged_Knowledge_Base,4.55,5.08,3.72
NON_2_026,Tagged_Knowledge_Base,4.45,4.22,4.26
NON_2_027,Tagged_Knowledge_Base,3.56,3.68,5.78
NON_2_028,Tagged_Knowledge_Base,4.15,4.79,2.08
NON_2_029,Tagged_Knowledge_Base,4.04,4.73,4.12
NON_2_030,Tagged_Knowledge_Base,5.06,3.86,3.83
NON_2_031,Tagged_Knowledge_Base,4.08,5.11,5.08
NON_2_032,Tagged_Knowledge_Base,3.23,4.41,3.34
NON_2_033,Tagged_Knowledge_Base,4.8,2.3,4.44
NON_2_034,Tagged_Knowledge_Base,4.15,3.81,4.58
NON_2_035,Tagged_Knowledge_Base,4.78,3.94,2.95
NON_2_036,Tagged_Knowledge_Base,4.4,2.75,3.85
NON_2_037,Tagged_Knowledge_Base,4.27,4.36,4.48
NON_2_038,Tagged_Knowledge_Base,4.25,4.86,4.43
NON_2_039,Tagged_Knowledge_Base,3.48,4.19,4.2
NON_2_040,Tagged_Knowledge_Base,5.02,3.91,3.43
NON_2_041,Tagged_Knowledge_Base,3.45,2.9,3.45
NON_2_042,Tagged_Knowledge_Base,5.22,3.83,4.6
NON_2_043,Tagged_Knowledge_Base,3.82,4.18,4.43
NON_2_044,Tagged_Knowledge_Base,3.87,4.71,5.69
NON_2_045,Tagged_Knowledge_Base,4.21,3.01,3.71
NON_2_046,Tagged_Knowledge_Base,4.07,5.38,4.85
NON_2_047,Tagged_Knowledge_Base,4.54,4.26,4.87
NON_2_048,Tagged_Knowledge_Base,4.39,3.59,4.18
NON_2_049,Tagged_Knowledge_Base,3.99,4.3,3.65
NON_2_050,Tagged_Knowledge_Base,3.51,4.14,5.48
NON_3_001,Guided_Workflow,3.5,4.8,5.88
NON_3_002,Guided_Workflow,5.19,3.45,4.68
NON_3_003,Guided_Workflow,4.36,4.69,4.9
NON_3_004,Guided_Workflow,3.99,4.12,5.19
NON_3_005,Guided_Workflow,5.02,4.53,5.55
NON_3_006,Guided_Workflow,3.32,5.19,4.49
NON_3_007,Guided_Workflow,4.39,3.78,5.09
NON_3_008,Guided_Workflow,4.05,6.06,4.0
NON_3_009,Guided_Workflow,5.03,4.44,4.69
NON_3_010,Guided_Workflow,4.28,3.51,4.34
NON_3_011,Guided_Workflow,5.08,4.25,4.97
NON_3_012,Guided_Workflow,3.88,4.53,4.7
NON_3_013,Guided_Workflow,3.91,4.17,4.01
NON_3_014,Guided_Workflow,5.54,5.32,5.07
NON_3_015,Guided_Workflow,5.95,2.66,4.36
NON_3_016,Guided_Workflow,3.99,4.21,4.9
NON_3_017,Guided_Workflow,3.88,4.32,4.31
NON_3_018,Guided_Workflow,3.92,3.78,5.34
NON_3_019,Guided_Workflow,4.25,4.26,4.99
NON_3_020,Guided_Workflow,3.02,3.12,3.94
NON_3_021,Guided_Workflow,4.15,4.02,3.78
NON_3_022,Guided_Workflow,3.08,3.27,4.31
NON_3_023,Guided_Workflow,5.28,3.77,5.48
NON_3_024,Guided_Workflow,3.32,3.67,4.53
NON_3_025,Guided_Workflow,4.58,5.09,3.7
NON_3_026,Guided_Workflow,4.48,4.23,4.24
NON_3_027,Guided_Workflow,3.59,3.69,5.76
NON_3_028,Guided_Workflow,4.18,4.8,2.06
NON_3_029,Guided_Workflow,4.07,4.74,4.1
NON_3_030,Guided_Workflow,5.09,3.87,3.81
NON_3_031,Guided_Workflow,4.11,5.12,5.06
NON_3_032,Guided_Workflow,3.26,4.42,3.32
NON_3_033,Guided_Workflow,4.83,2.31,4.42
NON_3_034,Guided_Workflow,4.18,3.82,4.56
NON_3_035,Guided_Workflow,4.81,3.95,2.93
NON_3_036,Guided_Workflow,4.43,2.76,3.83
NON_3_037,Guided_Workflow,4.3,4.37,4.46
NON_3_038,Guided_Workflow,4.28,4.87,4.41
NON_3_039,Guided_Workflow,3.51,4.2,4.18
NON_3_040,Guided_Workflow,5.05,3.92,3.41
NON_3_041,Guided_Workflow,3.48,2.91,3.43
NON_3_042,Guided_Workflow,5.25,3.84,4.58
NON_3_043,Guided_Workflow,3.85,4.19,4.41
NON_3_044,Guided_Workflow,3.9,4.72,5.67
NON_3_045,Guided_Workflow,4.24,3.02,3.69
NON_3_046,Guided_Workflow,4.1,5.39,4.83
NON_3_047,Guided_Workflow,4.57,4.27,4.85
NON_3_048,Guided_Workflow,4.42,3.6,4.16
NON_3_049,Guided_Workflow,4.02,4.31,3.63
NON_3_050,Guided_Workflow,3.54,4.15,5.46
NON_4_001,AI_Summary_Interface,3.49,4.78,5.89
NON_4_002,AI_Summary_Interface,5.18,3.43,4.69
NON_4_003,AI_Summary_Interface,4.35,4.67,4.91
NON_4_004,AI_Summary_Interface,3.98,4.1,5.2
NON_4_005,AI_Summary_Interface,5.01,4.51,5.56
NON_4_006,AI_Summary_Interface,3.31,5.17,4.5
NON_4_007,AI_Summary_Interface,4.38,3.76,5.1
NON_4_008,AI_Summary_Interface,4.04,6.04,4.01
NON_4_009,AI_Summary_Interface,5.02,4.42,4.7
NON_4_010,AI_Summary_Interface,4.27,3.49,4.35
NON_4_011,AI_Summary_Interface,5.07,4.23,4.98
NON_4_012,AI_Summary_Interface,3.87,4.51,4.71
NON_4_013,AI_Summary_Interface,3.9,4.15,4.02
NON_4_014,AI_Summary_Interface,5.53,5.3,5.08
NON_4_015,AI_Summary_Interface,5.94,2.64,4.37
NON_4_016,AI_Summary_Interface,3.98,4.19,4.91
NON_4_017,AI_Summary_Interface,3.87,4.3,4.32
NON_4_018,AI_Summary_Interface,3.91,3.76,5.35
NON_4_019,AI_Summary_Interface,4.24,4.24,5.0
NON_4_020,AI_Summary_Interface,3.01,3.1,3.95
NON_4_021,AI_Summary_Interface,4.14,4.0,3.79
NON_4_022,AI_Summary_Interface,3.07,3.25,4.32
NON_4_023,AI_Summary_Interface,5.27,3.75,5.49
NON_4_024,AI_Summary_Interface,3.31,3.65,4.54
NON_4_025,AI_Summary_Interface,4.57,5.07,3.71
NON_4_026,AI_Summary_Interface,4.47,4.21,4.25
NON_4_027,AI_Summary_Interface,3.58,3.67,5.77
NON_4_028,AI_Summary_Interface,4.17,4.78,2.07
NON_4_029,AI_Summary_Interface,4.06,4.72,4.11
NON_4_030,AI_Summary_Interface,5.08,3.85,3.82
NON_4_031,AI_Summary_Interface,4.1,5.1,5.07
NON_4_032,AI_Summary_Interface,3.25,4.4,3.33
NON_4_033,AI_Summary_Interface,4.82,2.29,4.43
NON_4_034,AI_Summary_Interface,4.17,3.8,4.57
NON_4_035,AI_Summary_Interface,4.8,3.93,2.94
NON_4_036,AI_Summary_Interface,4.42,2.74,3.84
NON_4_037,AI_Summary_Interface,4.29,4.35,4.47
NON_4_038,AI_Summary_Interface,4.27,4.85,4.42
NON_4_039,AI_Summary_Interface,3.5,4.18,4.19
NON_4_040,AI_Summary_Interface,5.04,3.9,3.42
NON_4_041,AI_Summary_Interface,3.47,2.89,3.44
NON_4_042,AI_Summary_Interface,5.24,3.82,4.59
NON_4_043,AI_Summary_Interface,3.84,4.17,4.42
NON_4_044,AI_Summary_Interface,3.89,4.7,5.68
NON_4_045,AI_Summary_Interface,4.23,3.0,3.7
NON_4_046,AI_Summary_Interface,4.09,5.37,4.84
NON_4_047,AI_Summary_Interface,4.56,4.25,4.86
NON_4_048,AI_Summary_Interface,4.41,3.58,4.17
NON_4_049,AI_Summary_Interface,4.01,4.29,3.64
NON_4_050,AI_Summary_Interface,3.53,4.13,5.47
